Datetime,Intervall [ms],A51_M1S_494 (Belegungen/Intervall),A51_M1S_494 (Verweilzeit/Intervall) [ms],A54_M4SL_506 (Belegungen/Intervall),A54_M4SL_506 (Verweilzeit/Intervall) [ms],A55_M3S_505 (Belegungen/Intervall),A55_M3S_505 (Verweilzeit/Intervall) [ms],D11 (Belegungen/Intervall),D11 (Verweilzeit/Intervall) [ms],D12 (Belegungen/Intervall),D12 (Verweilzeit/Intervall) [ms],D21 (Belegungen/Intervall),D21 (Verweilzeit/Intervall) [ms],Fiber_reserve (Belegungen/Intervall),Fiber_reserve (Verweilzeit/Intervall) [ms],H51_A74/M1S_493 (Belegungen/Intervall),H51_A74/M1S_493 (Verweilzeit/Intervall) [ms],H54_M3SL_1289 (Belegungen/Intervall),H54_M3SL_1289 (Verweilzeit/Intervall) [ms],H55_A30/M3S_504 (Belegungen/Intervall),H55_A30/M3S_504 (Verweilzeit/Intervall) [ms],LLB-Test (Belegungen/Intervall),LLB-Test (Verweilzeit/Intervall) [ms],Power_on (Belegungen/Intervall),Power_on (Verweilzeit/Intervall) [ms],Sync (Belegungen/Intervall),Sync (Verweilzeit/Intervall) [ms],foult (Belegungen/Intervall),foult (Verweilzeit/Intervall) [ms],Year,Month,Day,Hour
2021-06-01 14:00:00,3600000,16.0,15980.0,6.0,5990.0,23.0,22990.0,106.0,92880.0,215.0,335713.0,296.0,703584.0,0.0,0.0,16.0,15980.0,6.0,6000.0,23.0,22970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,14
2021-06-01 15:00:00,3600000,17.0,16980.0,4.0,4000.0,17.0,16960.0,116.0,105424.0,240.0,510112.0,359.0,1069890.0,0.0,0.0,17.0,16990.0,4.0,3990.0,18.0,17980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,15
2021-06-01 16:00:00,3600000,15.0,14970.0,4.0,3990.0,19.0,18990.0,119.0,190720.0,249.0,529519.0,363.0,973196.0,0.0,0.0,15.0,14980.0,4.0,3990.0,19.0,18990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,16
2021-06-01 17:00:00,3600000,16.0,15950.0,4.0,4000.0,20.0,19990.0,76.0,125820.0,209.0,404218.0,361.0,1054590.0,0.0,0.0,16.0,15960.0,4.0,4000.0,19.0,18980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,17
2021-06-01 18:00:00,3600000,16.0,15990.0,4.0,3990.0,20.0,20000.0,100.0,182120.0,156.0,261110.0,272.0,785706.0,0.0,0.0,16.0,15970.0,4.0,4000.0,20.0,19990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,18
2021-06-01 19:00:00,3600000,12.0,11990.0,4.0,4000.0,16.0,15990.0,54.0,36890.0,122.0,200133.0,208.0,432386.0,0.0,0.0,13.0,12960.0,4.0,3990.0,16.0,15990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,19
2021-06-01 20:00:00,3600000,12.0,12000.0,4.0,4000.0,14.0,13990.0,39.0,42600.0,100.0,78390.0,144.0,236542.0,0.0,0.0,12.0,11990.0,4.0,4000.0,14.0,13980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,20
2021-06-01 21:00:00,3600000,9.0,8990.0,4.0,4000.0,12.0,12000.0,31.0,22480.0,82.0,69860.0,117.0,118130.0,0.0,0.0,9.0,8980.0,4.0,4000.0,12.0,11970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,21
2021-06-01 22:00:00,3600000,6.0,6000.0,4.0,4000.0,10.0,9990.0,21.0,12780.0,49.0,35270.0,87.0,107320.0,0.0,0.0,6.0,6000.0,4.0,3990.0,10.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,22
2021-06-01 23:00:00,3600000,6.0,6000.0,4.0,4000.0,9.0,8990.0,18.0,10590.0,28.0,21673.0,46.0,50683.0,0.0,0.0,6.0,5990.0,4.0,3990.0,9.0,8990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,1,23
